generations,6,7,8,9,10,11,12,18,20,24,28,49,90,100,Total
0,9,7,2,0,0,1,0,0,0,0,0,0,0,0,19
1,3,2,2,0,0,0,0,0,1,0,0,0,0,0,8
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3
4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
24,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
187,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Total,39,33,6,3,4,4,1,1,4,1,1,1,1,1,100
