run,generations,best_fitness,evaluations,elapsed_time,neurons,inputs,connections,distinct_fitnesses,distinct_genomes,avg_fitness
1,0,0.9999999999999432,500,6.2819929122924805,100,0,468,44,500,0.00901681117382272
2,0,0.9999999999999432,500,5.999346733093262,100,0,336,46,500,0.012691842536862055
3,1,0.9999999979388463,550,10.19569730758667,100,0,301,49,500,0.006851128908321484
4,0,0.9999999999999432,500,5.887562990188599,100,0,249,45,500,0.009547372909177529
5,0,0.9999999999999432,500,6.7166428565979,100,0,266,44,500,0.01041673590752405
6,0,0.9999999999999432,500,6.10302996635437,100,0,228,51,500,0.00953715412001563
7,5,0.9999999895325983,750,26.145148992538452,100,0,383,93,500,0.01559273156025873
8,0,0.999999999999942,500,7.197532892227173,100,0,259,63,500,0.018550101452746874
9,0,0.9999999999999432,500,7.06706690788269,100,0,259,67,500,0.0167380525609427
10,0,0.9999999999999432,500,6.828317165374756,100,0,308,51,500,0.012068585527812446
11,0,0.9999999999999432,500,6.845590114593506,7,1,13,53,500,0.01038406602178368
12,0,0.9999999999999432,500,7.616332054138184,100,0,155,51,500,0.02003418018965482
13,0,0.9999999999945204,500,6.691151142120361,100,0,330,57,500,0.01156239802697243
14,0,0.9999999999999432,500,7.0980610847473145,100,0,250,54,500,0.011631004203916466
15,0,0.9999999999999432,500,6.726433992385864,100,0,299,48,500,0.016757268207435706
16,0,0.9999999999999432,500,6.256796360015869,100,0,243,56,500,0.00848799806796617
17,0,0.9999999999999432,500,6.989040851593018,100,0,393,54,500,0.01141493363373708
18,0,0.9999999999999432,500,6.47632098197937,100,0,487,57,500,0.013992156133547411
19,0,0.9999999999999432,500,6.617877006530762,100,0,462,50,500,0.021180230977851273
20,0,0.9999999999998723,500,6.27292275428772,6,2,8,46,500,0.007490799329398134
21,0,0.9999999999999432,500,6.554328918457031,100,0,373,53,500,0.01561687443421102
22,0,0.9999999999999432,500,6.870192766189575,100,0,498,46,500,0.0034831734678638436
23,0,0.9999999999999432,500,7.147002935409546,100,0,486,53,500,0.012813678320723032
24,0,0.9999999999999432,500,6.857120037078857,100,0,331,60,500,0.009398479810578252
25,0,0.999999999979793,500,6.860877990722656,100,0,268,42,500,0.01257143838049227
26,0,0.9999999999999432,500,7.1469690799713135,100,0,261,47,500,0.0238201702044107
27,1,0.9999999999999432,550,11.091447114944458,100,0,185,64,500,0.017074967250487585
