generations,6,7,8,34,46,70,100,Total
0,4,3,1,1,1,0,84,94
1,0,0,0,0,0,0,3,3
4,0,0,0,0,0,1,0,1
5,0,0,0,0,0,0,2,2
Total,4,3,1,1,1,1,89,100
